ชื่อข้อเสนอ,ระยะเวลาข้อเสนอ,ประเภทข้อเสนอ,อัตราค่าคอมมิชชัน,ลิงก์ข้อเสนอ
KOL individual - Health & Wellness,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.5%,https://s.shopee.co.th/8020vDlgbh
KOL individual - Fashion Accessories,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.75%,https://s.shopee.co.th/8UyHW8jmao
KOL individual - Home Appliances,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.5%,https://s.shopee.co.th/8KerJpkPvn
KOL individual - Men Clothes,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.75%,https://s.shopee.co.th/8pb7ukiVuu
KOL individual - Men Shoes,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.75%,https://s.shopee.co.th/8fHhiRj9Ft
KOL individual - Mobile & Tablets,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.5%,https://s.shopee.co.th/9ADyJMhFF0
KOL individual - Baby & Toys,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.5%,https://s.shopee.co.th/8zuY73hsZz
KOL individual - Bags,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,2%,https://s.shopee.co.th/9UqohyfyZ6
KOL individual - Bags,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,2%,https://s.shopee.co.th/9KXOVfgbu5
KOL individual - Women Clothes,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.5%,https://s.shopee.co.th/9pTf6aehtC
KOL individual - Women Shoes,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,2%,https://s.shopee.co.th/9fAEuHfLEB
KOL individual - Bags,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,2%,https://s.shopee.co.th/AA6VVCdRDI
KOL individual - Watches & Glasses,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.75%,https://s.shopee.co.th/9zn5Ite4YH
KOL individual - Cameras,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.5%,https://s.shopee.co.th/AUjLtocAXO
KOL individual - Food & Beverages,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.75%,https://s.shopee.co.th/AKPvhVcnsN
KOL individual - Beauty & Personal Care,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.75%,https://s.shopee.co.th/5VKfwcvCgS
KOL individual - Pets,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.75%,https://s.shopee.co.th/5L1FkJvq1R
KOL individual - Baby & Toys,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.75%,https://s.shopee.co.th/5pxWLEtw0Y
KOL individual - Baby & Toys,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.75%,https://s.shopee.co.th/5fe68vuZLX
KOL individual - Gaming & Accessories,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.5%,https://s.shopee.co.th/6AaMjqsfKe
KOL individual - Cameras,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.5%,https://s.shopee.co.th/60GwXXtIfd
KOL individual - Home & Living,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.5%,https://s.shopee.co.th/6VDD8SrOek
KOL individual - Sports & Outdoors,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.75%,https://s.shopee.co.th/6Ktmw9s1zj
"KOL individual - Stationery, Books & Hobbies","เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.75%,https://s.shopee.co.th/6pq3X4q7yq
KOL individual - Baby & Toys,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.5%,https://s.shopee.co.th/6fWdKlqlJp
KOL individual - Motors,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.75%,https://s.shopee.co.th/7AStvgorIw
KOL individual - Motors,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.75%,https://s.shopee.co.th/709TjNpUdv
KOL individual - Tickets and Vouchers,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,2%,https://s.shopee.co.th/7V5kKInad2
"KOL individual - Stationery, Books & Hobbies","เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.5%,https://s.shopee.co.th/7KmK7zoDy1
KOL individual - Computers & Laptops,"เริ่มต้น: 2025-06-01
สิ้นสุด: ไม่จำกัด",Category,1.5%,https://s.shopee.co.th/7piaiumJx8
