product_name,category,price,description,brand,rating,tags,affiliate_link,shop_name
iPhone 15 Pro Max 256GB,โทรศัพท์มือถือ,45900,iPhone 15 Pro Max ล่าสุด กล้อง 48MP Pro พร้อม Action Button และ Titanium Design,Apple,4.8,"iPhone,Apple,smartphone,5G,โทรศัพท์,มือถือ",https://s.shopee.co.th/9ADyJMhFF0,Apple Store Official
Samsung Galaxy S24 Ultra 512GB,โทรศัพท์มือถือ,42900,Galaxy S24 Ultra พร้อม Galaxy AI S Pen และกล้อง 200MP,Samsung,4.7,"Samsung,Galaxy,Android,smartphone,5G,โทรศัพท์,มือถือ",https://s.shopee.co.th/9ADyJMhFF0,Samsung Thailand
Xiaomi 14 Ultra 512GB,โทรศัพท์มือถือ,32900,Xiaomi 14 Ultra กล้องมือถือที่ดีที่สุด ร่วมมือกับ Leica,Xiaomi,4.6,"Xiaomi,Mi,Android,smartphone,5G,โทรศัพท์,มือถือ,Leica",https://s.shopee.co.th/9ADyJMhFF0,Xiaomi Official Store
OPPO Find X7 Ultra 256GB,โทรศัพท์มือถือ,28900,OPPO Find X7 Ultra กล้องระดับมืออาชีพ ชาร์จเร็ว 100W,OPPO,4.5,"OPPO,Find,Android,smartphone,5G,โทรศัพท์,มือถือ",https://s.shopee.co.th/9ADyJMhFF0,OPPO Official
เซรั่มวิตามินซี 30ml,ความงาม,890,เซรั่มวิตามินซีเข้มข้น ลดจุดด่างดำ กระจ่างใส,Beauty Plus,4.6,"เซรั่ม,วิตามินซี,ความงาม,ผิวขาว,สกินแคร์",https://s.shopee.co.th/5VKfwcvCgS
ครีมกันแดด SPF50,ความงาม,650,ครีมกันแดดสูตรน้ำ ไม่เหนียวเหนอะ ป้องกัน UVA UVB,SunShield,4.4,"ครีมกันแดด,SPF50,ความงาม,ป้องกันแสงแดด",https://s.shopee.co.th/5VKfwcvCgS
ลิปสติกเนื้อแมท,ความงาม,390,ลิปสติกเนื้อแมท ติดทนนาน ไม่หลุดง่าย,LipLove,4.3,"ลิปสติก,แมท,ความงาม,เครื่องสำอาง",https://s.shopee.co.th/5VKfwcvCgS
อาหารแมวเปียก 400g,สัตว์เลี้ยง,89,อาหารแมวเปียกคุณภาพดี รสปลาทูน่า โปรตีนสูง,PetFood Pro,4.7,"อาหารแมว,เปียก,สัตว์เลี้ยง,ปลาทูน่า",https://s.shopee.co.th/5L1FkJvq1R
อาหารหมาเม็ด 2kg,สัตว์เลี้ยง,450,อาหารหมาเม็ดสำหรับสุนัขโตครบสูตร วิตามินครบถ้วน,DogNutrition,4.5,"อาหารหมา,เม็ด,สัตว์เลี้ยง,วิตามิน",https://s.shopee.co.th/5L1FkJvq1R
กระเป๋าสะพายผู้หญิง,กระเป๋า,1290,กระเป๋าสะพายหนังแท้ ดีไซน์สวย ใส่ของได้เยอะ,BagStyle,4.2,"กระเป๋า,สะพาย,ผู้หญิง,หนังแท้",https://s.shopee.co.th/9UqohyfyZ6
กระเป๋าเป้เดินทาง,กระเป๋า,890,กระเป๋าเป้เดินทาง กันน้ำ ขนาด 30L เหมาะกับการเดินทาง,TravelPro,4.4,"กระเป๋าเป้,เดินทาง,กันน้ำ,30L",https://s.shopee.co.th/9UqohyfyZ6
หูฟังบลูทูธ TWS,เกมมิ่ง,1590,หูฟังบลูทูธไร้สาย เสียงใส เบสหนัก เหมาะเล่นเกม,SoundMax,4.3,"หูฟัง,บลูทูธ,TWS,เกมมิ่ง",https://s.shopee.co.th/6AaMjqsfKe
คีย์บอร์ดเกมมิ่ง RGB,เกมมิ่ง,2490,คีย์บอร์ดเกมมิ่งเม็คคานิค ไฟ RGB สวยงาม,GameGear,4.6,"คีย์บอร์ด,เกมมิ่ง,RGB,เม็คคานิค",https://s.shopee.co.th/6AaMjqsfKe
เสื้อเชิ้ตผู้ชาย,เสื้อผ้าผู้ชาย,790,เสื้อเชิ้ตผู้ชายผ้าคอตต้อน สีพื้น สวมใส่สบาย,ManStyle,4.1,"เสื้อเชิ้ต,ผู้ชาย,คอตต้อน,สีพื้น",https://s.shopee.co.th/8pb7ukiVuu
กางเกงยีนส์ผู้ชาย,เสื้อผ้าผู้ชาย,990,กางเกงยีนส์ผู้ชาย ทรงสลิม ผ้าดี ใส่สบาย,DenimPro,4.2,"กางเกงยีนส์,ผู้ชาย,สลิม,ผ้าดี",https://s.shopee.co.th/8pb7ukiVuu
